Tabela de observabilidade para a noite de 2025-09-07


--------------------------------------------------------------------------------------------------------------------------------------------------------

Unidades: RA, DEC hh mm ss.sss dd mm ss.s | EL: dd.d | Mag: mag aparente | moon_dis: dd.d | moon_lum: %


Objeto                            | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
----------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
Pluto (999)                       |  45.8 |  59.5 |  73.3 |  87.0 |  79.0 |  65.2 |  51.4 |  37.8 |       |       |       |       |       |
624 Hektor (A907 CF)              |       |       |       |       |       |       |       |       |       |       |       |       |       |
617 Patroclus (A906 UL)           |       |       |       |       |       |       |       |       |  39.2 |  47.1 |  50.8 |  49.3 |  42.9 |
911 Agamemnon (A919 FB)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
588 Achilles (A906 DN)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
1143 Odysseus (1930 BH)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
1173 Anchises (1930 UB)           |       |       |       |       |       |       |       |  41.1 |  46.6 |  47.4 |  43.4 |  35.5 |       |
1172 Aneas (1930 UA)              |       |       |       |       |       |       |       |       |       |       |  40.1 |  42.3 |  40.1 |
1867 Deiphobus (1971 EA)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
1437 Diomedes (1937 PB)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
3063 Makhaon (1983 PV)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
2241 Alcathous (1979 WM)          |       |       |       |       |       |       |       |  35.8 |  39.1 |  38.4 |       |       |       |
4709 Ennomos (1988 TU2)           |       |       |       |       |       |       |       |       |       |       |  35.3 |  36.4 |       |
3451 Mentor (1984 HA1)            |       |       |       |       |       |       |       |       |       |  41.1 |  53.4 |  63.4 |  67.5 |
3317 Paris (1984 KF)              |       |       |       |       |       |       |       |       |  41.1 |  54.6 |  67.1 |  75.4 |  72.2 |
2797 Teucer (1981 LK)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
3793 Leonteus (1985 TE3)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
2207 Antenor (1977 QH1)           |       |       |       |       |       |       |       |       |  37.9 |  47.6 |  53.6 |  54.2 |  49.1 |
3708 Socus (1974 FV1)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
1583 Antilochus (1950 SA)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
1208 Troilus (1931 YA)            |       |       |       |       |       |       |       |       |       |  42.5 |  47.9 |  48.5 |  44.2 |
2893 Peiroos (1975 QD)            |       |       |       |       |       |       |       |  41.0 |  53.2 |  62.9 |  66.7 |  62.1 |  52.0 |
4060 Deipylos (1987 YT1)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
4063 Euforbo (1989 CG2)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
2920 Automedon (1981 JR)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
884 Priamus (A917 SU)             |       |       |       |       |       |       |       |       |       |       |  36.4 |  37.9 |  35.5 |
4348 Poulydamas (1988 RU)         |       |       |       |       |       |       |       |  39.2 |  47.3 |  51.2 |  49.7 |  43.4 |       |
4489 Dracius (1988 AK)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
2357 Phereclos (1981 AC)          |       |       |       |       |       |       |       |       |  39.1 |  47.1 |  50.9 |  49.4 |  43.1 |
3540 Protesilaos (1973 UF5)       |       |       |       |       |       |       |       |       |       |       |       |       |       |
1749 Telamon (1949 SB)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
2223 Sarpedon (1977 TL3)          |       |       |       |       |       |       |       |       |  36.2 |  44.5 |  49.1 |  48.7 |  43.3 |
2363 Cebriones (1977 TJ3)         |       |       |       |       |       |       |       |       |  35.8 |  47.1 |  55.7 |  59.1 |  56.0 |
659 Nestor (A908 FE)              |       |       |       |       |       |       |       |       |       |       |       |       |       |
15436 Dexius (1998 VU30)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
2456 Palamedes (1966 BA1)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
3709 Polypoites (1985 TL3)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
2674 Pandarus (1982 BC3)          |       |       |       |       |       |       |       |       |  41.8 |  48.9 |  51.4 |  48.4 |  41.1 |
5264 Telephus (1991 KC)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
5130 Ilioneus (1989 SC7)          |       |       |       |       |       |       |  41.9 |  46.5 |  46.3 |  41.5 |       |       |       |
4834 Thoas (1989 AM2)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
5144 Achates (1991 XX)            |       |       |       |       |       |       |       |       |       |       |  37.8 |  37.7 |       |
5648 Axius (1990 VU1)             |       |       |       |       |       |       |       |       |  37.8 |  48.5 |  55.9 |  57.9 |  53.5 |
4708 Polydoros (1988 RT)          |       |       |       |       |       |  35.2 |  44.9 |  51.2 |  52.5 |  48.3 |  39.9 |       |       |
5254 Ulysses (1986 VG1)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
4722 Agelaos (4271 T-3)           |       |       |       |       |       |       |       |  39.5 |  49.7 |  56.2 |  57.0 |  51.7 |  42.2 |
4068 Menestheus (1973 SW)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
4805 Asteropaios (1990 VH7)       |       |       |       |       |       |       |       |  37.0 |  41.5 |  41.7 |  37.7 |       |       |
136472 Makemake (2005 FY9)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
3596 Meriones (1985 VO)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
4833 Meges (1989 AL2)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
4836 Medon (1989 CK1)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
2260 Neoptolemus (1975 WM1)       |       |       |       |       |       |       |       |       |       |       |       |       |       |
4715 Medesicaste (1989 TS1)       |       |       |       |       |       |       |       |       |       |       |       |       |       |
7641 Cteatus (1986 TT6)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
1404 Ajax (1936 QW)               |       |       |       |       |       |       |       |       |       |       |       |       |       |
136108 Haumea (2003 EL61)         |  38.1 |       |       |       |       |       |       |       |       |       |       |       |       |
3564 Talthybius (1985 TC1)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
34746 Thoon (2001 QE91)           |       |       |       |       |       |       |       |  48.2 |  61.9 |  74.6 |  80.5 |  71.3 |  58.1 |
4035 Thestor (1986 WD)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
4832 Palinurus (1988 TU1)         |       |       |       |       |       |       |       |       |  42.0 |  54.3 |  64.1 |  67.9 |  62.8 |
4792 Lykaon (1988 RK1)            |       |       |       |       |       |       |       |  40.4 |  50.4 |  56.7 |  57.0 |  51.3 |  41.6 |
2759 Idomeneus (1980 GC)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
2895 Memnon (1981 AE1)            |       |       |       |       |       |       |       |  42.5 |  56.2 |  69.5 |  79.6 |  75.6 |  63.3 |
4086 Podalirius (1985 VK2)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
6090 Aulis (1989 DJ)              |       |       |       |       |       |       |       |       |       |       |       |       |       |
15502 Hypeirochus (1999 NV27)     |       |       |       |       |       |       |       |       |  35.4 |  35.9 |       |       |       |
4902 Thessandrus (1989 AN2)       |       |       |       |       |       |       |       |       |       |       |       |       |       |
12444 Prothoon (1996 GE19)        |       |       |       |       |       |       |       |  38.1 |  46.4 |  50.8 |  49.9 |  44.1 |       |
15440 Eioneus (1998 WX4)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
4867 Polites (1989 SZ)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
7119 Hiera (1989 AV2)             |       |       |       |       |       |       |       |       |       |       |       |       |       |
308607 (2005 WY3)                 |       |       |       |       |       |       |       |       |       |       |       |       |       |
1868 Thersites (2008 P-L)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
9799 Thronium (1996 RJ)           |       |       |       |       |       |       |       |       |       |       |       |       |       |
21900 Orus (1999 VQ10)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
3240 Laocoon (1978 VG6)           |       |       |       |       |       |       |       |       |  41.4 |  47.1 |  48.2 |  44.2 |  36.5 |
23135 Pheidas (2000 AN146)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
12929 Periboea (1999 TZ1)         |       |       |       |       |       |       |       |       |  44.2 |  56.9 |  67.3 |  71.0 |  64.8 |
5027 Androgeos (1988 BX1)         |       |       |       |       |       |       |       |       |       |       |       |       |       |
16070 Charops (1999 RB101)        |       |       |       |       |       |       |       |       |       |       |       |       |       |
38050 Bias (1998 VR38)            |       |       |       |       |       |       |       |       |       |       |       |       |       |
3548 Eurybates (1973 SO)          |       |       |       |       |       |       |       |       |       |       |       |       |       |
